,Movie,Days,Shows
63,ALVIN AND THE CHIPMUNKS THE ROAD CHIP,10,15
64,AMAR AKBAR ANTHONY,42,44
65,AMEERPETA LO,2,2
66,AMERICAN ASSASSIN,7,9
67,AMERICAN MADE,19,45
68,AMERICAN SNIPER,56,61
69,AMI TUMI,7,7
70,AMMA KANAKKU,12,26
71,AMMANI,2,2
72,AN INCONVENIENT SEQUEL TRUTH TO POWER,7,7
73,ANAARKALI OF AARAH,7,7
74,ANANDO BRAHMA,6,8
75,ANARKALI,11,11
76,ANBANAVAN ASARATHVAN ADANGATHAVAN,10,34
77,ANDHADHI,7,7
78,ANDHAGAADU,7,7
79,ANEGAN,48,140
80,ANGAMALY DIARIES,35,38
81,ANGRY INDIAN GODDESSES,19,23
82,ANJALA,7,9
83,ANNA,4,4
84,ANNABELLE CREATION,61,119
85,ANNABELLE CREATION PAID PREMIERE,2,4
86,ANNMARIYA KALIPPILANNU,7,7
87,ANT MAN,7,18
88,ANTHA MAAN,7,7
89,ANURAGA KARIKKIN VELLAM,7,16
90,APPA,63,96
91,APPATLO OKADUNDEVAADU,7,7
92,APPAVUM VEENJUM,2,2
93,ARAM,18,53
94,ARANMANAI 2,35,75
95,ARJUN REDDY,21,44
96,ARRIVAL,59,94
97,ARTHANAARI,7,7
98,ASSASSINS CREED,13,30
99,ASTERIX THE MANSION OF THE GODS,14,18
100,ATADUKUNDAM RAA,5,5
101,ATHEY KANGAL,43,63
102,ATOMIC BLONDE,13,13
103,ATTI,4,4
104,ATTU,7,7
105,AVAL,24,89
106,AVAN AVAL,6,6
107,AVENGERS AGE OF ULTRON,68,176
108,AVIYAL,14,23
109,AYIRATHIL IRUVAR,5,5
110,AZHAGU KUTTI CHELLAM,7,7
111,AZHAHENDRA SOLLUKKU AMUDHA,2,2
112,AZHAR,20,28
113,BAABU BANGAARAM,20,30
114,BAADSHAHO,7,16
115,BAAGHI,14,30
116,BAAHUBALI 2 HINDI,35,84
117,BAAHUBALI 2 TAMIL,101,437
118,BAAHUBALI 2 TELUGU,35,90
119,BAAHUBALI TAMIL,48,85
120,BAAHUBALI TELUGU,21,64
121,BAAR BAAR DEKHO,13,27
122,BAARAAT COMPANY,3,3
123,BAASHHA,6,11
124,BABUMOSHAI BANDOOKBAAZ,7,7
125,BABY,58,93
126,BABY DRIVER,31,54
127,BACHCHE KACHCHE SACHCHE,3,3
128,BAD MOMS,49,60
129,BADLAPUR,21,39
130,BADMASHIYAAN,7,7
131,BADRINATH KI DULHANIA,28,58
132,BAIRAVAA,29,105
133,BAJIRAO MASTANI,70,137
134,BAJRANGI BHAIJAAN,14,53
135,BALE VELLAYA THEVA,14,43
136,BANGALORE NAATKAL,21,53
137,BANJO,7,14
138,BANK CHOR,7,20
139,BAREILLY KI BARFI,49,61
140,BASHEERINTE PREMALEKHANAM,4,4
141,BATMAN V SUPERMAN DAWN OF JUSTICE,35,106
142,BATMAN V SUPERMAN DAWN OF JUSTICE PAID PREMIER,1,8
143,BAYAM ORU PAYANAM,14,14
144,BAYAMA IRUKKU,7,7
145,BAYWATCH,29,38
146,BEAUTY AND THE BEAST,55,77
147,BEFIKRE,21,52
148,BEFORE I FALL,7,9
149,BEGUM JAAN,14,21
150,BEHEN HOGI TERI,7,7
151,BEIIMAAN LOVE,7,7
152,BEN HUR,7,14
153,BENCH TALKIES,13,18
154,BENGAL TIGER,8,17
155,BERLIN SYNDROME,7,7
