,Movie,Days,Shows
784,RAMANTE EDANTHOTTAM,7,7
785,RANAVIKRAMA,3,3
786,RANGOON,14,33
787,RANGOON TAMIL,24,47
788,RANI PADMINI,7,7
789,RARANDOI VEDUKA CHUDHAM,7,9
790,RASIGARGAL NARPANI MANDRAM,7,7
791,RED DOG,4,4
792,REKKA,28,56
793,REMO,49,118
794,RESIDENT EVIL THE FINAL CHAPTER,6,20
795,REY,6,6
796,RICKSHAWKARAN,2,2
797,RINGS,21,28
798,ROBINSON CRUSOE,7,15
799,ROCK ON 2,7,37
800,ROCK THE KASBAH,5,5
801,ROCKY HANDSOME,15,27
802,ROGUE ONE A STAR WARS STORY,7,14
803,ROMBA NALLAVANDA NEE,2,2
804,ROMEO JULIET,28,67
805,ROOM,7,7
806,ROY,14,37
807,RUBAAI,7,16
808,RUDHRAMADEVI TAMIL,9,19
809,RUDHRAMADEVI TELUGU,5,12
810,RUM,7,9
811,RUN,5,5
812,RUN ALL NIGHT,14,23
813,RUNNING SHAADI,7,7
814,RUSTOM,28,51
815,S O SATYA MURTHY,15,47
816,SAAHASAM,7,13
817,SAALA KHADOOS,14,16
818,SABKI BAJEGI BAND,3,3
819,SACHIN A BILLION DREAMS,28,46
820,SAGAPTHAM,6,12
821,SAITHAN,36,87
822,SAKHAVU,20,26
823,SAN ANDREAS,28,66
824,SAN ANDREAS QUAKE,7,7
825,SANAM RE,7,9
826,SANAM TERI KASAM,14,14
827,SANDAMARUDHAM,25,30
828,SANDIKUTHIRAI,2,2
829,SANGILI BUNGILI KADHAVA THORAE,35,85
830,SANKARA BHARANAM,7,7
831,SANTA BANTA,7,7
832,SAPTAGIRI EXPRESS,7,7
833,SARAVANAN IRUKKA BAYAMAEN,35,95
834,SARBJIT,21,23
835,SARDAAR GABBARSINGH,6,20
836,SARITHIRAM PESU,2,2
837,SARKAR 3,8,17
838,SARRAINODU,21,39
839,SATHIRIYAN,14,23
840,SATHURA ADI 3500,7,7
841,SATHURAM 2,6,6
842,SATHURAN,2,2
843,SAVARIKKADU,2,2
844,SAVITRI,7,7
845,SAWAARI,11,11
846,SCHOOL BUS,6,8
847,SECRET IN THEIR EYES,7,7
848,SECRET SUPERSTAR,32,87
849,SEETHAMMA ANDAALU RAMAIYYA SITHRALU,6,6
850,SELFIE RAAJA,7,12
851,SENJITTALE EN KADHALA,3,3
852,SERNDHU POLAMA,4,4
853,SETHU BOOMI,7,7
854,SETHUPATHI,28,56
855,SEVENTH SON,6,8
856,SHAADI MEIN ZAROOR AANA,7,7
857,SHAANDAAR,19,39
858,SHAB,7,7
859,SHAJAHANUM PAREEKUTTIYUM,7,7
860,SHAMANTHAKAMANI,7,7
861,SHAMITABH,28,83
862,SHARAFAT GAYI TEL LENE,7,7
863,SHATAMANAM BHAVATHI,21,32
864,SHERLOCK TOMS,7,7
865,SHIVAAY,27,69
866,SHIVALINGA,2,2
867,SHIVAM,7,7
868,SHORGUL,8,8
869,SHUBH MANGAL SAVDHAN,28,57
870,SHUT IN,7,7
871,SI III,50,140
872,SICARIO,28,30
873,SIMRAN,14,23
874,SING,13,24
875,SINGH IS BLIING,19,29
876,SIVALINGA,21,52
877,SIVAPPU,4,4
878,SKIPTRACE,6,12
879,SMURFS THE LOST VILLAGE,27,34
880,SNIFF,6,6
881,SNOOPY AND CHARLIE BROWN THE PEANUTS MOVIE,7,23
882,SOAN PAPDI,8,8
883,SOGGADE CHINNI NAYANA,21,32
884,SOLO TAMIL,21,34
885,SONATA,2,2
886,SOWCARPETTAI,7,14
887,SOWKHYAM,8,11
888,SPECTRE,29,94
889,SPEEDUNNODU,7,7
890,SPIDER MAN HOMECOMING,48,83
891,SPL 2,5,5
892,SPLIT,49,67
893,SPOTLIGHT,41,52
894,SPY,28,30
895,SPYDER TAMIL,21,93
896,SPYDER TELUGU,2,8
897,SRIRASTU SUBHAMASTU,7,9
898,STAR TREK BEYOND,14,21
899,STAR WARS THE FORCE AWAKENS,21,60
900,STORKS,49,67
901,SU SU SUDHI VATHMEEKAM,2,2
902,SUBRAMANYAM FOR SALE,1,1
903,SUICIDE SQUAD,28,44
904,SULLY,63,96
905,SULTAN,37,101
906,SUNSHINE MUSIC TOURS AND TRAVELS,5,5
907,SUPREME,8,10
908,SURYA VS SURYA,8,10
909,SURYAKANTHI,4,4
910,SWARNAKKADUVA,6,6
911,SWEETIEE WEDS NRI,7,7
912,SWERVE,2,2
913,TAKE OFF,21,29
914,TAKEN 3,49,66
915,TALVAR,39,51
916,TAMASHA,27,60
917,TAMILSELVANUM THANIYAAR ANJALUM,14,21
918,TANU WEDS MANU RETURNS,66,101
919,TE3N,21,30
920,TEENAGE MUTANT NINJA TURTLES OUT OF THE SHADOWS,14,23
921,TEMPER,14,31
922,TERAA SURROOR,7,7
923,TERE BIN LADEN DEAD OR ALIVE,7,9
924,TERMINATOR GENISYS,27,63
925,TEVAR,14,31
926,THAARAI THAPPATTAI,22,69
927,THAMIZHUKKU ENN ONDRAI AZHUTHAVUM,41,80
928,THANGAMAGAN,27,124
929,THANGARATHAM,7,7
930,THANI ORUVAN,66,94
931,THANK GOD HE MET LIZZIE,1,1
932,THANK YOU FOR YOUR SERVICE,2,2
933,THANU NENU,4,4
934,THAPPU THANDAA,5,5
935,THARAMANI,30,51
936,THARANGAM,6,6
937,THARKAPPU,7,7
938,THE 33,14,17
939,THE 5TH WAVE,14,22
940,THE ACCOUNTANT,42,71
941,THE AGE OF ADALINE,6,6
942,THE ANGRY BIRDS MOVIE,42,75
943,THE BANK,4,4
944,THE BFG,17,23
945,THE BIG SICK,17,20
946,THE BLACK MONEY TRAIL COMMANDO 2,21,28
947,THE BOSS BABY,100,122
948,THE CIRCLE,14,14
949,THE CON ARTISTS,2,2
950,THE CONJURING 2,42,90
951,THE DANISH GIRL,15,18
952,THE DARK TOWER,7,7
953,THE FINEST HOURS,14,21
954,THE FOREIGNER,7,9
955,THE FOUNDER,28,36
956,THE GIRL ON THE TRAIN,28,30
957,THE GOOD DINOSAUR,41,84
958,THE GREAT FATHER,7,9
959,THE GREAT WALL,27,36
960,THE HATEFUL EIGHT,20,23
961,THE HITMANS BODYGUARD,7,9
962,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,13,30
963,THE HUNGER GAMES MOCKINGJAY PART 2,7,14
964,THE HUNTSMAN WINTERS WAR,16,32
965,THE IMITATION GAME,28,30
966,THE INTERN,30,31
967,THE JUNGLE BOOK,93,210
968,THE LAZARUS EFFECT,5,5
969,THE LEGEND OF MICHAEL MISHRA,6,6
970,THE LEGEND OF TARZAN,7,15
971,THE LEGO BATMAN MOVIE,35,49
972,THE LEGO NINJAGO MOVIE,7,9
973,THE MAGNIFICENT SEVEN,19,28
974,THE MAN WHO KNEW INFINITY,47,53
975,THE MARTIAN,49,72
976,THE MUMMY,15,40
977,THE NUT JOB 2,7,7
978,THE REVENANT,43,61
979,THE SAPPHIRES,3,3
980,THE SECOND BEST EXOTIC MARIGOLD HOTEL,7,7
981,THE SECRET LIFE OF PETS,23,44
982,THE SPACE BETWEEN US,14,14
983,THE SPONGEBOB MOVIE SPONGE OUT OF WATER,34,36
984,THE THEORY OF EVERYTHING,21,21
985,THE WALK,45,68
986,THE WISHING TREE,2,2
987,THE WOMAN IN BLACK 2 ANGEL OF DEATH,12,29
988,THE ZOOKEEPERS WIFE,7,7
989,THEERAN ADHIGARAM ONDRU,13,48
990,THERI,98,296
991,THERU NAAIGAL,2,2
992,THILAGAR,5,5
993,THIRAIKKU VARAADHA KADHAI,7,7
994,THIRANTHIDU SEESE,2,2
995,THIRI,7,7
996,THIRUNAAL,19,42
997,THIRUTTU RAIL,6,6
998,THITHI,2,2
999,THITTIVASAL,7,7
1000,THODARI,22,58
1001,THONDAN,21,37
1002,THONDIMUTHALUM DHRIKSAKSHIYUM,10,12
1003,THOONGAAVANAM,38,155
1004,THOPPI,7,7
1005,THOPPIL JOPPAN,7,7
1006,THOR RAGNAROK,26,82
1007,THOTTAL THODARUM,7,7
1008,THOZHA,69,118
1009,THUNAI MUDHALVAR,7,7
1010,THUPPARIVAALAN,34,104
1011,TIGER,7,7
1012,TITLI,11,11
1013,TOILET EK PREM KATHA,42,63
1014,TOMORROWLAND,28,45
1015,TOURING TALKIES,6,6
1016,TRAFFIC,13,13
1017,TRAIN TO BUSAN,7,7
1018,TRANSFORMERS THE LAST KNIGHT,4,10
1019,TRAPPED,14,16
1020,TRIPLE NINE,7,7
1021,TRISHA ILLANA NAYANTHARA,16,19
1022,TROLLS,7,16
1023,TUBE LIGHT,3,3
1024,TUBELIGHT HINDI,17,52
1025,TUM BIN 2,6,6
1026,TUMHARI SULU,12,20
1027,TUNGABHADRA,3,6
1028,U TURN,4,4
1029,UCHATHULA SHIVA,5,5
1030,UDAHARANAM SUJATHA,5,5
1031,UDTA PUNJAB,28,49
1032,UNAKKENNA VENUM SOLLU,1,1
1033,UNBROKEN,7,9
1034,UNDERWORLD 5 BLOOD WARS,7,24
1035,UNFORGETTABLE,6,8
1036,UNINDIAN,2,2
1037,UNNODU KA,6,12
1038,UPPU KARUVADU,21,34
1039,URIYADI,14,14
1040,URU,15,15
1041,URUMEEN,14,28
1042,URUTHIKOL,7,7
1043,UTTAMA VILLAIN,28,113
1044,UYIRE UYIRE,7,14
1045,VAAIMAI,8,8
1046,VAANAVIL VAAZHKAI,7,9
1047,VAI RAJA VAI,35,109
1048,VAIGAI EXPRESS,7,7
1049,VAJRAM,6,6
1050,VALEBA RAJA,15,27
1051,VALERIAN AND THE CITY OF A THOUSAND PLANETS,7,7
1052,VALIYAVAN,14,42
1053,VALLADESAM,4,4
1054,VANAMAGAN,24,70
1055,VARNAYATHIL ASHANKA,7,9
1056,VEDALAM,38,188
1057,VEERAPPAN,5,5
1058,VEERASIVAJI,21,44
1059,VELAINNU VANTHUTTA VELLAKARAN,49,84
1060,VELIPADINTE PUSTHAKAM,4,4
1061,VELLAI ILLA PATTADHAARI 2,27,83
1062,VELLAIYA IRUKIRAVAN POI SOLLA MAATTAN,15,20
1063,VELLAKKKARA DURAI,14,41
1064,VENDRU VARUVAN,2,2
1065,VETHU VETTU,5,5
1066,VETRIVEL,14,39
1067,VETTAH,7,7
1068,VETTRI VIZHA,7,7
1069,VICEROY'S HOUSE,6,6
1070,VICTORIA AND ABDUL,6,7
1071,VIDAYUTHAM,7,9
1072,VIKRAM VEDHA,89,182
1073,VIL AMBU,14,26
1074,VILLAIN,7,10
1075,VINDHAI,7,7
1076,VIRAIVIL ISAI,2,2
1077,VIRUTHACHALAM,2,2
1078,VISAARANAI,28,54
1079,VISMAYAM,7,7
1080,VIVEGAM,55,216
1081,VIZHITHIRU,7,7
1082,VUNNADI OKATE ZINDAGI,7,9
1083,WAGAH,27,48
1084,WAH TAJ,5,5
1085,WAITING,21,23
1086,WAJAH TUM HO,7,7
1087,WAR DOGS,21,28
1088,WAR FOR THE PLANET OF THE APES,14,23
1089,WARCRAFT,7,15
1090,WAZIR,28,42
1091,WEDDING PULLAV,3,3
1092,WELCOME 2 KARACHI,13,14
1093,WHIPLASH,7,9
1094,WHITE,6,6
1095,WILD,7,9
1096,WILD CARD,7,9
1097,WINNER,7,9
1098,WITHIN,7,7
1099,WOLVES AT THE DOOR,7,14
1100,WONDER WOMAN,51,97
1101,WRECKER,4,4
1102,X MEN APOCALYPSE,28,47
1103,X PAST IS PRESENT,7,9
1104,XXX RETURN OF XANDER CAGE,27,69
1105,YAAGAVARAYINUM NAA KAAKKA,20,35
1106,YAAKKAI,2,2
1107,YAANUM THEEYAVAN,10,18
1108,YAAR IVAN,6,6
1109,YAMAN,21,42
1110,YEIDHAVAN,7,7
1111,YENDHA NERATHILUM,2,2
1112,YENNAI ARINDHAAL,43,178
1113,YEVADE SUBRAMANYAM,12,14
1114,YEVANAVAN,10,10
1115,YOOGAN,14,14
1116,YUDDHAM SHARANAM,6,12
1117,ZERO,14,23
1118,ZOOTOPIA,41,75
1119,ZUBAAN,2,2
