,Year,Month,Date,film_strtitle,total_amount,total_tickets
317,2015,1,25,THE IMITATION GAME,11880.0,99
318,2015,1,25,THE THEORY OF EVERYTHING,11890.0,100
319,2015,1,25,THOTTAL THODARUM,11880.0,99
320,2015,1,26,AAMBALA,89850.0,779
321,2015,1,26,AMERICAN SNIPER,11910.0,102
322,2015,1,26,BABY,57550.0,508
323,2015,1,26,DARLING,102400.0,912
324,2015,1,26,DOLLY KI DOLI,11920.0,103
325,2015,1,26,GOPALA GOPALA,12970.0,109
326,2015,1,26,I,245270.0,2120
327,2015,1,26,MARIYAM MUKKU,10800.0,90
328,2015,1,26,MORTDECAI,8530.0,72
329,2015,1,26,PATAS,11950.0,106
330,2015,1,26,PICKET 43,8400.0,70
331,2015,1,26,PK,25930.0,217
332,2015,1,26,TAKEN 3,12990.0,111
333,2015,1,26,THE IMITATION GAME,11880.0,99
334,2015,1,26,THE THEORY OF EVERYTHING,11890.0,100
335,2015,1,26,THOTTAL THODARUM,12850.0,108
336,2015,1,27,AAMBALA,50100.0,434
337,2015,1,27,AMERICAN SNIPER,11930.0,104
338,2015,1,27,BABY,57440.0,497
339,2015,1,27,DARLING,67750.0,593
340,2015,1,27,DOLLY KI DOLI,12130.0,102
341,2015,1,27,GOPALA GOPALA,11400.0,95
342,2015,1,27,I,155850.0,1329
343,2015,1,27,MARIYAM MUKKU,4590.0,41
344,2015,1,27,MORTDECAI,8640.0,72
345,2015,1,27,PATAS,7470.0,65
346,2015,1,27,PICKET 43,5760.0,48
347,2015,1,27,PK,24240.0,202
348,2015,1,27,TAKEN 3,12970.0,109
349,2015,1,27,THE IMITATION GAME,11160.0,93
350,2015,1,27,THE THEORY OF EVERYTHING,11900.0,101
351,2015,1,27,THOTTAL THODARUM,5780.0,50
352,2015,1,28,AAMBALA,40380.0,353
353,2015,1,28,AMERICAN SNIPER,11970.0,108
354,2015,1,28,BABY,57240.0,488
355,2015,1,28,DARLING,67410.0,592
356,2015,1,28,DOLLY KI DOLI,11910.0,102
357,2015,1,28,GOPALA GOPALA,8890.0,75
358,2015,1,28,I,156070.0,1318
359,2015,1,28,MARIYAM MUKKU,3680.0,38
360,2015,1,28,MORTDECAI,10560.0,88
361,2015,1,28,PATAS,8660.0,74
362,2015,1,28,PICKET 43,6860.0,59
363,2015,1,28,PK,25590.0,216
364,2015,1,28,TAKEN 3,12840.0,107
365,2015,1,28,THE IMITATION GAME,12600.0,105
366,2015,1,28,THE THEORY OF EVERYTHING,11890.0,100
367,2015,1,28,THOTTAL THODARUM,5190.0,46
368,2015,1,29,AAMBALA,41230.0,361
369,2015,1,29,AMERICAN SNIPER,11890.0,100
370,2015,1,29,BABY,56910.0,488
371,2015,1,29,BLIND DATE,7630.0,70
372,2015,1,29,DARLING,62270.0,540
373,2015,1,29,DOLLY KI DOLI,11940.0,105
374,2015,1,29,GOPALA GOPALA,10690.0,90
375,2015,1,29,I,136240.0,1161
376,2015,1,29,MARIYAM MUKKU,3140.0,28
377,2015,1,29,PATAS,11980.0,109
378,2015,1,29,PICKET 43,5160.0,43
379,2015,1,29,PK,25940.0,218
380,2015,1,29,PULAN VISARANAI 2,4100.0,36
381,2015,1,29,TAKEN 3,12990.0,111
382,2015,1,29,THE IMITATION GAME,11890.0,100
383,2015,1,29,THE THEORY OF EVERYTHING,11880.0,99
384,2015,1,29,THOTTAL THODARUM,3320.0,35
385,2015,1,30,AAMBALA,11810.0,103
386,2015,1,30,AMERICAN SNIPER,11880.0,99
387,2015,1,30,BABY,38480.0,328
388,2015,1,30,BIRDMAN,23650.0,198
389,2015,1,30,DARLING,72060.0,617
390,2015,1,30,DHARANI,5760.0,48
391,2015,1,30,DOLLY KI DOLI,12890.0,112
