,Year,Month,film_strtitle,total_amount,total_tickets
661,2016,3,AVIYAL,226270.0,1947
662,2016,3,BATMAN V SUPERMAN DAWN OF JUSTICE,1251360.0,10582
663,2016,3,BATMAN V SUPERMAN DAWN OF JUSTICE PAID PREMIER,163150.0,1399
664,2016,3,BLIND DATE,30120.0,251
665,2016,3,BUS 657,75480.0,651
666,2016,3,CAROL,27090.0,234
667,2016,3,DARVINTE PARINAMAM,48270.0,416
668,2016,3,DEADPOOL,350650.0,2956
669,2016,3,EYE IN THE SKY,164090.0,1405
670,2016,3,GODS OF EGYPT,148280.0,1254
671,2016,3,IRUDHI SUTTRU,201250.0,1700
672,2016,3,JAI GANGAAJAL,383770.0,3287
673,2016,3,KADHALUM KADANTHU POGUM,1797530.0,15435
674,2016,3,KALI,95410.0,829
675,2016,3,KALYANA VAIBHOGAME,156420.0,1331
676,2016,3,KANITHAN,657700.0,5644
677,2016,3,KAPOOR AND SONS,1279350.0,10752
678,2016,3,KATHIRAVANIN KODAI MAZHAI,19630.0,170
679,2016,3,KSHANAM,204850.0,1730
680,2016,3,LEGENDARY AMAZONS,8080.0,71
681,2016,3,LONDON HAS FALLEN,542620.0,4608
682,2016,3,MAAPLA SINGAM,244380.0,2130
683,2016,3,MIRUTHAN,360870.0,3087
684,2016,3,NATPADHIGAARAM 79,50480.0,428
685,2016,3,NAYYAPPUDAI,2450.0,25
686,2016,3,NEERJA,1052260.0,8825
687,2016,3,PICHAIKKARAN,490970.0,4371
688,2016,3,POKKIRI RAJA,230560.0,1991
689,2016,3,PUGAZH,306860.0,2713
690,2016,3,PUTHIYA NIYAMAM,27030.0,228
691,2016,3,RACE,58640.0,496
692,2016,3,ROCKY HANDSOME,186930.0,1624
693,2016,3,RUN,43880.0,373
694,2016,3,SAWAARI,116570.0,1020
695,2016,3,SETHUPATHI,698560.0,5924
696,2016,3,SOWCARPETTAI,131790.0,1156
697,2016,3,SPOTLIGHT,412930.0,3464
698,2016,3,TERAA SURROOR,60890.0,545
699,2016,3,TERE BIN LADEN DEAD OR ALIVE,18010.0,162
700,2016,3,THE REVENANT,922880.0,7765
701,2016,3,THOZHA,400410.0,3576
702,2016,3,TRIPLE NINE,75640.0,645
703,2016,3,VALEBA RAJA,77600.0,676
704,2016,3,VETTAH,20540.0,184
705,2016,3,VIDAYUTHAM,79110.0,673
706,2016,3,VISAARANAI,24400.0,207
707,2016,3,ZERO,165780.0,1464
708,2016,3,ZOOTOPIA,751460.0,6308
709,2016,3,ZUBAAN,6860.0,59
710,2016,4,10 CLOVERFIELD LANE,25730.0,219
711,2016,4,AVAN AVAL,57450.0,487
712,2016,4,BAAGHI,59840.0,528
713,2016,4,BATMAN V SUPERMAN DAWN OF JUSTICE,1111890.0,9329
714,2016,4,BLIND DATE,31560.0,263
715,2016,4,DARLING 2,415640.0,3625
716,2016,4,ENNUL AAYIRAM,64950.0,566
717,2016,4,FAN,1097100.0,9368
718,2016,4,HELLO NAAN PEI PESUREN,867910.0,7602
719,2016,4,JACOBINTE SWARGARAJYAM,466640.0,3973
720,2016,4,JITHAN 2,166660.0,1431
721,2016,4,KADHALUM KADANTHU POGUM,84000.0,711
722,2016,4,KALAM,23890.0,211
723,2016,4,KALI,389140.0,3285
724,2016,4,KANDAEN KADHAL KONDAEN,7200.0,60
725,2016,4,KANITHAN,116170.0,980
726,2016,4,KAPOOR AND SONS,403380.0,3378
727,2016,4,KI AND KA,1257390.0,10602
728,2016,4,KIDA POOSARI MAGUDI,47250.0,413
729,2016,4,KUNG FU PANDA 3,1492700.0,12529
730,2016,4,LEELA,54730.0,468
731,2016,4,LOVE GAMES,66290.0,579
732,2016,4,MANITHAN,291970.0,2577
733,2016,4,MOTHERS DAY,22980.0,197
734,2016,4,NARATHAN,46380.0,414
735,2016,4,NEERJA,72160.0,605
736,2016,4,NIL BATTEY SANNATTA,105240.0,899
737,2016,4,OYEE,20480.0,178
738,2016,4,PICHAIKKARAN,183040.0,1562
739,2016,4,ROCKY HANDSOME,77040.0,654
740,2016,4,SANTA BANTA,58880.0,509
741,2016,4,SARDAAR GABBARSINGH,310580.0,2689
742,2016,4,SARRAINODU,249400.0,2170
743,2016,4,SAVITRI,51360.0,461
744,2016,4,THE HUNTSMAN WINTERS WAR,227710.0,1915
745,2016,4,THE JUNGLE BOOK,1524220.0,13085
746,2016,4,THE MAN WHO KNEW INFINITY,38700.0,339
747,2016,4,THE REVENANT,74680.0,626
748,2016,4,THERI,4819210.0,42119
749,2016,4,THOZHA,805470.0,6913
750,2016,4,UYIRE UYIRE,135920.0,1173
751,2016,4,VETRIVEL,328510.0,2920
752,2016,4,ZERO,67890.0,574
753,2016,4,ZOOTOPIA,190130.0,1589
754,2016,5,10 CLOVERFIELD LANE,146830.0,1252
755,2016,5,1920 LONDON,208180.0,1788
756,2016,5,24,2002040.0,17307
757,2016,5,ALICE THROUGH THE LOOKING GLASS,64710.0,542
758,2016,5,AZHAR,312420.0,2664
